,customer_id,store_id,c_first_name,c_last_name,email,address_id,activebool,create_date,last_update_x,active,address,address2,district,city_id,postal_code,phone,last_update_y,city,country_id,last_update_x,country,last_update_y,full_address,loc,point,lat,lon,altitude
108,12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,True,2006-02-14,2013-05-26 14:49:45.738,1,808 Bhopal Manor,,Haryana,582,10672,465887807014,2006-02-15 09:45:30,Yamuna Nagar,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Yamuna Nagar, India","Yamuna Nagar, K/W Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 400053, India","(19.1481254, 72.827599, 0.0)",19.1481254,72.827599,0.0
109,15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,True,2006-02-14,2013-05-26 14:49:45.738,1,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354,2006-02-15 09:45:30,Bhopal,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Bhopal, India","Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India","(23.2584857, 77.401989, 0.0)",23.2584857,77.401989,0.0
110,28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,True,2006-02-14,2013-05-26 14:49:45.738,1,1425 Shikarpur Manor,,Bihar,346,65599,678220867005,2006-02-15 09:45:30,Munger (Monghyr),44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Munger (Monghyr), India","Munger, Lal Darwaza Main Road, Munger, Bihar, 811113, India","(25.3771111, 86.4813897, 0.0)",25.3771111,86.4813897,0.0
111,31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,True,2006-02-14,2013-05-26 14:49:45.738,1,33 Gorontalo Way,,West Bengali,257,30348,745994947458,2006-02-15 09:45:30,Kamarhati,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Kamarhati, India","Kamarhati, Barrackpore, North 24 Parganas, West Bengal, 700058, India","(22.6810246, 88.3715343, 0.0)",22.6810246,88.3715343,0.0
112,32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,True,2006-02-14,2013-05-26 14:49:45.738,1,176 Mandaluyong Place,,Uttar Pradesh,239,65213,627705991774,2006-02-15 09:45:30,Jhansi,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Jhansi, India","Jhansi, Uttar Pradesh, India","(25.530130800000002, 78.65242146225927, 0.0)",25.530130800000002,78.65242146225927,0.0
113,59,1,Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,63,True,2006-02-14,2013-05-26 14:49:45.738,1,1213 Ranchi Parkway,,Karnataka,350,94352,800024380485,2006-02-15 09:45:30,Mysore,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Mysore, India","Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India","(12.3051828, 76.6553609, 0.0)",12.3051828,76.6553609,0.0
114,60,1,Mildred,Bailey,mildred.bailey@sakilacustomer.org,64,True,2006-02-14,2013-05-26 14:49:45.738,1,81 Hodeida Way,,Rajasthan,231,55561,250767749542,2006-02-15 09:45:30,Jaipur,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Jaipur, India","Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur District, Rajasthan, 302001, India","(26.9154576, 75.8189817, 0.0)",26.9154576,75.8189817,0.0
115,68,1,Nicole,Peterson,nicole.peterson@sakilacustomer.org,72,True,2006-02-14,2013-05-26 14:49:45.738,1,57 Arlington Manor,,Madhya Pradesh,475,48960,990214419142,2006-02-15 09:45:30,Shivapuri,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Shivapuri, India","Shivapuri, Hadgaon, Nanded, Maharashtra, 431712, India","(19.3345208, 77.633214, 0.0)",19.3345208,77.633214,0.0
116,78,1,Lori,Wood,lori.wood@sakilacustomer.org,82,True,2006-02-14,2013-05-26 14:49:45.738,1,936 Salzburg Lane,,Uttar Pradesh,425,96709,875756771675,2006-02-15 09:45:30,Rae Bareli,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Rae Bareli, India","Rāe Bareli, Raebareli, Uttar Pradesh, India","(26.25, 81.25, 0.0)",26.25,81.25,0.0
117,95,2,Paula,Bryant,paula.bryant@sakilacustomer.org,99,True,2006-02-14,2013-05-26 14:49:45.738,1,1697 Tanauan Lane,,Punjab,399,22870,4764773857,2006-02-15 09:45:30,Pathankot,44,2006-02-15 09:45:25,India,2006-02-15 09:44:00,"Pathankot, India","Pathankot, Pathankot Tahsil, Pathankot district, Punjab, 145001, India","(32.2692452, 75.6528858, 0.0)",32.2692452,75.6528858,0.0
